id,B_ID,First Name_B,Last Name_B,Full_Name_B,B_Weight,B_Age,Weight_B,Height_B,Reach_B,Stance_B,R_ID,First Name_R,Last Name_R,Full_Name_R,R_Age,R_Height,R_Weight,Height_R,Weight_R,Reach_R,R_Wrestling,R_BJJ,R_Boxing,R_Kickboxing,R_MuayTai,R_Freestyle,R_Sambo,R_Karate,R_Judo,Stance_R,winby,winner,Record_B,Wins_B,Losses_B,Draws_B,Record_R,Wins_R,Losses_R,Draws_R,BPrev,BStreak,B_Location,Event_ID,B_Wrestling,B_BJJ,B_Boxing,B_Kickboxing,B_MuayTai,B_Freestyle,B_Sambo,B_Karate,B_Judo,Full_Name__B,SLpM__B,StrAcc__B,SApM__B,StrDef__B,TDAvg__B,TDAcc__B,TDDef__B,SubAvg__B,Full_Name__R,SLpM__R,StrAcc__R,SApM__R,StrDef__R,TDAvg__R,TDAcc__R,TDDef__R,SubAvg__R
1,2237,Aaron,Phillips,Aaron Phillips,65,29,135,69,70,Southpaw,1978,Sam,Sicilia,Sam Sicilia,32,172,65,68,145,67,1,0,0,0,0,0,0,0,0,Orthodox,DEC,red,8/2/00,8,2,0,15-8-0,15,8,0,0,0,"Lafayette, LA USA",664,0,0,0,0,0,1,0,0,0,Aaron Phillips,1.87,0.59,3.33,0.4,0,0,0.35,0.5,Sam Sicilia,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9
2,2862,Gavin,Tucker,Gavin Tucker,65,32,145,66,66,Southpaw,1978,Sam,Sicilia,Sam Sicilia,32,172,65,68,145,67,1,0,0,0,0,0,0,0,0,Orthodox,DEC,blue,10-0-0,10,0,0,15-8-0,15,8,0,0,0,"Halifax, Nova Scotia Canada",808,0,1,0,0,0,0,0,0,0,Gavin Tucker,3.67,0.33,0.67,0.88,1,1,0,0,Sam Sicilia,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9
3,2041,Yaotzin,Meza,Yaotzin Meza,65,37,145,69,74,Orthodox,1978,Sam,Sicilia,Sam Sicilia,32,172,65,68,145,67,1,0,0,0,0,0,0,0,0,Orthodox,DEC,red,21-11-0,21,11,0,15-8-0,15,8,0,3,1,"Glendale, Arizona USA",727,1,0,0,0,0,0,0,0,0,Yaotzin Meza,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,Sam Sicilia,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9
4,2041,Yaotzin,Meza,Yaotzin Meza,65,37,145,69,74,Orthodox,2570,Arnold,Allen,Arnold Allen,24,172,65,68,145,70,0,0,1,1,0,0,0,0,0,Southpaw,DEC,red,21-11-0,21,11,0,12/1/00,12,1,0,4,0,"Glendale, Arizona USA",763,1,0,0,0,0,0,0,0,0,Yaotzin Meza,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,Arnold Allen,2.06,0.34,1.85,0.55,2.88,0.57,0.75,0.7
5,2373,Makwan,Amirkhani,Makwan Amirkhani,65,29,145,70,72,Southpaw,2570,Arnold,Allen,Arnold Allen,24,172,65,68,145,70,0,0,1,1,0,0,0,0,0,Southpaw,DEC,red,13-3-0,13,3,0,12/1/00,12,1,0,3,3,Turku Finland,811,1,0,0,0,0,0,0,0,0,Makwan Amirkhani,1.73,0.53,1.45,0.53,4.24,0.45,0.5,2.4,Arnold Allen,2.06,0.34,1.85,0.55,2.88,0.57,0.75,0.7
6,2041,Yaotzin,Meza,Yaotzin Meza,65,37,145,69,74,Orthodox,2010,Chico,Camus,Chico Camus,33,167,56,66,125,66,0,0,0,0,0,1,0,0,0,Orthodox,DEC,no contest,21-11-0,21,11,0,14-7-0,14,7,0,0,0,"Glendale, Arizona USA",652,1,0,0,0,0,0,0,0,0,Yaotzin Meza,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,Chico Camus,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4
7,2041,Yaotzin,Meza,Yaotzin Meza,65,37,145,69,74,Orthodox,2504,Damian,Stasiak,Damian Stasiak,28,165,61,65,135,70,0,0,0,0,0,0,0,1,0,Orthodox,DEC,blue,21-11-0,21,11,0,10/3/00,10,3,0,2,0,"Glendale, Arizona USA",714,1,0,0,0,0,0,0,0,0,Yaotzin Meza,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,Damian Stasiak,0.86,0.4,1.76,0.52,3.48,0.53,0,1.5
8,2634,Abdul,Razak Alhassan,Abdul Razak Alhassan,77,33,170,70,73,Orthodox,2833,Charlie,Ward,Charlie Ward,37,180,77,71,170,73,0,0,0,0,0,1,0,0,0,Orthodox,KO/TKO,blue,7-0-0,7,0,0,3/2/00,3,2,0,0,0,"Fort Worth, Texas United States",795,0,0,0,0,0,0,0,0,1,Abdul Razak Alhassan,9.5,0.52,3.02,0.68,0,0,1,0,Charlie Ward,2.26,0.14,13.58,0.45,0,0,0,0
9,2634,Abdul,Razak Alhassan,Abdul Razak Alhassan,77,33,170,70,73,Orthodox,1462,Sabah,Homasi,Sabah Homasi,29,182,77,72,170,72,0,0,0,0,0,1,0,0,0,Orthodox,KO/TKO,blue,7-0-0,7,0,0,11/6/00,11,6,0,2,0,"Fort Worth, Texas United States",850,0,0,0,0,0,0,0,0,1,Abdul Razak Alhassan,9.5,0.52,3.02,0.68,0,0,1,0,Sabah Homasi,4.16,0.41,8.95,0.39,3.78,1,0,0
10,2634,Abdul,Razak Alhassan,Abdul Razak Alhassan,77,33,170,70,73,Orthodox,1462,Sabah,Homasi,Sabah Homasi,29,182,77,72,170,72,0,0,0,0,0,1,0,0,0,Orthodox,KO/TKO,blue,7-0-0,7,0,0,11/6/00,11,6,0,3,1,"Fort Worth, Texas United States",854,0,0,0,0,0,0,0,0,1,Abdul Razak Alhassan,9.5,0.52,3.02,0.68,0,0,1,0,Sabah Homasi,4.16,0.41,8.95,0.39,3.78,1,0,0
