,eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age,result,Age,Reach,weight,height,fightdif,windif,lossdif,subdif,KOdif,Decdif,subldif,KOldif,Decldif,subavg,decexp,subexp,KOexp
2994,42205,6,6/13/15,Henry Cejudo,Chico Camus,win,loss,125297,42850,Decision,3,5:00,2,2,0,2,0,6,3,2,1,0,0,0,2,0,0,0,0,0,3,1,0,1,125297,64.0,125.0,United States,64.0,125.0,64.0,Orthodox,3.87,0.42,2.7,0.71,2.12,0.31,1.0,0.2,11.33,42850,66.0,125.0,United States,66.0,125.0,66.0,Orthodox,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,8.38,28.3394935,30.37645448,1,-2.03696098,-2.0,0.0,-2.0,-4,-1,-2,0,0,-1,-1,0,-1,-0.2,0,1,0
3013,42209,2,6/27/15,Tony Sims,Steve Montgomery,win,loss,30021,49092,KO,1,2:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30021,71.0,155.0,United States,71.0,155.0,70.0,Southpaw,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,6.26,49092,76.0,170.0,United States,76.0,185.0,75.0,Southpaw,4.85,0.39,4.12,0.47,0.0,0.0,0.64,0.0,10.47,29.70020534,24.52019165,1,5.180013689999999,-5.0,-15.0,-5.0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
1014,9250,7,2/21/09,Demian Maia,Chael Sonnen,win,loss,14637,4112,Submission,1,2:37,4,4,0,4,0,3,1,2,0,1,3,0,0,0,0,0,0,0,1,2,0,0,14637,72.0,170.0,Brazil,73.0,170.0,72.0,Southpaw,1.82,0.44,1.61,0.62,2.99,0.31,0.65,1.3,9.74,4112,73.0,205.0,United States,73.0,205.0,74.0,Southpaw,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4,10.69,31.293634499999996,31.88774812,1,-0.5941136200000052,-2.0,-35.0,-1.0,1,3,-2,3,0,-1,-2,0,0,0.9,-1,5,0
1260,12390,5,5/8/10,Jonathan Goulet,Marcus Davis,loss,win,4120,8592,TKO,2,1:23,8,4,4,0,1,12,8,4,0,2,0,2,1,2,2,0,4,2,2,0,2,2,4120,72.0,169.0,Canada,72.0,170.0,73.0,Orthodox,1.61,0.41,2.0,0.46,4.17,0.7,0.45,0.6,10.4,8592,68.0,170.0,United States,70.0,170.0,70.0,Southpaw,2.72,0.39,2.79,0.65,1.6,0.48,0.47,1.4,10.5,30.81998631,36.70362765,0,-5.8836413400000005,3.0,-1.0,4.0,-4,-4,0,-4,0,-1,2,0,-2,-0.7999999999999999,1,-6,0
1143,10444,13,9/19/09,Rich Franklin,Vitor Belfort,loss,win,392,156,TKO,1,3:02,15,12,3,1,0,10,6,4,0,2,1,8,3,0,2,1,0,6,0,0,2,2,392,73.0,185.0,United States,73.0,185.0,75.0,Southpaw,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7,10.53,156,72.0,185.0,Brazil,72.0,185.0,74.0,Southpaw,1.56,0.46,2.78,0.5,1.13,0.6,0.53,0.7,8.26,34.95687885,32.46817248,0,2.4887063700000027,1.0,0.0,1.0,5,6,-1,1,2,3,0,0,-1,0.0,4,1,2
2710,37743,3,9/13/14,Francisco Trinaldo,Leandro Silva,win,loss,31103,86382,Decision,3,5:00,7,4,3,0,1,1,0,1,0,1,2,1,1,1,0,2,0,0,0,0,0,1,31103,68.0,155.0,Brazil,69.0,155.0,70.0,Southpaw,3.34,0.46,2.29,0.6,1.08,0.4,0.62,0.5,9.29,86382,70.0,170.0,Brazil,69.0,155.0,72.0,Orthodox,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,8.76,36.05475702,28.83778234,1,7.216974679999996,-2.0,-15.0,-2.0,6,4,2,2,1,1,1,0,1,0.09999999999999998,0,1,1
1254,12390,11,5/8/10,Lyoto Machida,Mauricio Rua,loss,win,7513,5707,KO,1,3:35,8,8,0,8,0,4,2,2,0,1,1,2,5,0,0,0,0,2,0,1,0,1,7513,73.0,185.0,Brazil,73.0,185.0,74.0,Southpaw,2.63,0.53,1.59,0.62,1.33,0.65,0.75,0.4,8.5,5707,73.0,205.0,Brazil,73.0,205.0,76.0,Orthodox,3.75,0.51,2.58,0.56,2.17,0.48,0.45,0.9,11.4,31.93976728,28.44900753,0,3.4907597500000023,-2.0,-20.0,0.0,4,6,-2,1,0,5,-1,0,-1,-0.5,6,2,0
1240,12184,3,4/10/10,Brad Blackburn,DaMarques Johnson,loss,win,2920,12913,TKO,3,2:08,4,3,1,0,1,2,1,1,1,0,0,1,2,0,0,1,1,0,0,1,0,0,2920,70.0,169.0,United States,70.0,170.0,73.0,Orthodox,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,12.03,12913,72.0,170.0,United States,73.0,170.0,75.0,Orthodox,2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,9.36,32.87611225,27.78370979,0,5.092402459999999,-2.0,-1.0,-2.0,2,2,0,-1,1,2,-1,0,1,0.0,1,0,1
3263,47933,3,1/30/16,Randy Brown,Matt Dwyer,win,loss,115641,53933,Decision,3,5:00,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,115641,74.0,171.0,Jamaica,75.0,170.0,78.0,Orthodox,3.02,0.42,2.95,0.53,0.83,0.33,0.77,0.8,9.65,53933,76.0,168.0,Canada,76.0,170.0,76.0,Orthodox,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0,7.83,25.5633128,26.11909651,1,-0.55578371,2.0,3.0,-2.0,-3,-1,-2,0,-1,0,0,-1,-1,0.8,1,0,0
3209,47439,3,12/11/15,Mike Pierce,Ryan LaFlare,loss,win,25415,34409,Decision,3,5:00,13,9,4,0,1,5,4,1,0,1,1,3,5,1,0,3,0,0,4,0,0,1,25415,68.0,170.0,United States,68.0,170.0,70.0,Orthodox,2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2,10.43,34409,73.0,170.0,United States,73.0,170.0,74.0,Southpaw,3.16,0.38,1.91,0.63,2.61,0.52,0.64,0.3,10.15,35.27446954,32.19438741,0,3.080082130000001,-4.0,0.0,-5.0,8,5,3,1,3,1,1,0,2,-0.09999999999999998,-1,0,3
