eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time
7,8,UFC 1 - The Beginning,11/12/93,Royce Gracie,Gerard Gordeau,win,loss,19,15,Submission,1,1:44
7,7,UFC 1 - The Beginning,11/12/93,Jason DeLucia,Trent Jenkins,win,loss,22,23,Submission,1,0:52
7,6,UFC 1 - The Beginning,11/12/93,Royce Gracie,Ken Shamrock,win,loss,19,4,Submission,1,0:57
7,5,UFC 1 - The Beginning,11/12/93,Gerard Gordeau,Kevin Rosier,win,loss,15,17,TKO,1,0:59
7,4,UFC 1 - The Beginning,11/12/93,Ken Shamrock,Patrick Smith,win,loss,4,21,Submission,1,1:49
7,3,UFC 1 - The Beginning,11/12/93,Royce Gracie,Art Jimmerson,win,loss,19,20,Submission,1,2:18
7,2,UFC 1 - The Beginning,11/12/93,Kevin Rosier,Zane Frazier,win,loss,17,18,TKO,1,4:20
7,1,UFC 1 - The Beginning,11/12/93,Gerard Gordeau,Teila Tuli,win,loss,15,16,TKO,1,0:26
8,15,UFC 2 - No Way Out,3/11/94,Royce Gracie,Patrick Smith,win,loss,19,21,Submission,1,1:17
8,14,UFC 2 - No Way Out,3/11/94,Royce Gracie,Remco Pardoel,win,loss,19,33,Submission,1,1:31
8,13,UFC 2 - No Way Out,3/11/94,Patrick Smith,Johnny Rhodes,win,loss,21,27,Submission,1,1:07
8,12,UFC 2 - No Way Out,3/11/94,Royce Gracie,Jason DeLucia,win,loss,19,22,Submission,1,1:07
8,11,UFC 2 - No Way Out,3/11/94,Remco Pardoel,Orlando Wiet,win,loss,33,31,KO,1,1:29
8,10,UFC 2 - No Way Out,3/11/94,Johnny Rhodes,Fred Ettish,win,loss,27,36,Submission,1,3:07
8,9,UFC 2 - No Way Out,3/11/94,Patrick Smith,Scott Morris,win,loss,21,24,KO,1,0:30
8,8,UFC 2 - No Way Out,3/11/94,Royce Gracie,Minoki Ichihara,win,loss,19,35,Submission,1,5:08
8,7,UFC 2 - No Way Out,3/11/94,Jason DeLucia,Scott Baker,win,loss,22,34,Submission,1,6:41
8,6,UFC 2 - No Way Out,3/11/94,Remco Pardoel,Alberto Cerra Leon,win,loss,33,37,Submission,1,9:51
8,5,UFC 2 - No Way Out,3/11/94,Orlando Wiet,Robert Lucarelli,win,loss,31,32,TKO,1,2:50
8,4,UFC 2 - No Way Out,3/11/94,Frank Hamaker,Thaddeus Luster,win,loss,29,30,TKO,1,4:52
8,3,UFC 2 - No Way Out,3/11/94,Johnny Rhodes,David Levicki,win,loss,27,28,Submission,1,12:13
8,2,UFC 2 - No Way Out,3/11/94,Patrick Smith,Ray Wizard,win,loss,21,26,Submission,1,0:58
8,1,UFC 2 - No Way Out,3/11/94,Scott Morris,Sean Daugherty,win,loss,24,25,Submission,1,0:20
9,6,UFC 3 - The American Dream,9/9/94,Steve Jennum,Harold Howard,win,loss,44,41,Submission,1,1:27
9,5,UFC 3 - The American Dream,9/9/94,Ken Shamrock,Felix Mitchell,win,loss,4,45,Submission,1,4:34
9,4,UFC 3 - The American Dream,9/9/94,Royce Gracie,Kimo Leopoldo,win,loss,19,43,Submission,1,4:40
9,3,UFC 3 - The American Dream,9/9/94,Harold Howard,Roland Payne,win,loss,41,42,KO,1,0:46
9,2,UFC 3 - The American Dream,9/9/94,Ken Shamrock,Christophe Leninger,win,loss,4,40,Submission,1,4:49
9,1,UFC 3 - The American Dream,9/9/94,Keith Hackney,Emmanuel Yarborough,win,loss,38,39,TKO,1,1:59
10,10,UFC 4 - Revenge of the Warriors,12/16/94,Royce Gracie,Dan Severn,win,loss,19,52,Submission,1,15:49
10,9,UFC 4 - Revenge of the Warriors,12/16/94,Guy Mezger,Jason Fairn,win,loss,14,48,TKO,1,2:13
10,8,UFC 4 - Revenge of the Warriors,12/16/94,Dan Severn,Marcus Bossett,win,loss,52,54,Submission,1,0:52
10,7,UFC 4 - Revenge of the Warriors,12/16/94,Royce Gracie,Keith Hackney,win,loss,19,38,Submission,1,5:32
10,6,UFC 4 - Revenge of the Warriors,12/16/94,Dan Severn,Anthony Macias,win,loss,52,53,Submission,1,1:45
10,5,UFC 4 - Revenge of the Warriors,12/16/94,Steve Jennum,Melton Bowen,win,loss,44,51,Submission,1,4:47
10,4,UFC 4 - Revenge of the Warriors,12/16/94,Keith Hackney,Joe Son,win,loss,38,50,Submission,1,2:44
10,3,UFC 4 - Revenge of the Warriors,12/16/94,Royce Gracie,Ron van Clief,win,loss,19,49,Submission,1,3:59
10,2,UFC 4 - Revenge of the Warriors,12/16/94,Marcus Bossett,Eldo Dias Xavier,win,loss,54,55,KO,1,4:55
10,1,UFC 4 - Revenge of the Warriors,12/16/94,Joe Charles,Kevin Rosier,win,loss,46,17,Submission,1,0:14
11,10,UFC 5 - The Return of the Beast,4/7/95,Dan Severn,Dave Beneteau,win,loss,52,56,Submission,1,3:01
11,9,UFC 5 - The Return of the Beast,4/7/95,Ken Shamrock,Royce Gracie,draw,draw,4,19,Draw,1,36:00:00
11,8,UFC 5 - The Return of the Beast,4/7/95,Dan Severn,Oleg Taktarov,win,loss,52,47,TKO,1,4:21
11,7,UFC 5 - The Return of the Beast,4/7/95,Dave Beneteau,Todd Medina,win,loss,56,61,TKO,1,2:12
11,6,UFC 5 - The Return of the Beast,4/7/95,Dan Severn,Joe Charles,win,loss,52,46,Submission,1,1:38
11,5,UFC 5 - The Return of the Beast,4/7/95,Oleg Taktarov,Ernie Verdicia,win,loss,47,63,Submission,1,2:23
11,4,UFC 5 - The Return of the Beast,4/7/95,Todd Medina,Larry Cureton,win,loss,61,62,TKO,1,2:55
11,3,UFC 5 - The Return of the Beast,4/7/95,Jon Hess,Andy Anderson,win,loss,59,60,TKO,1,1:23
11,2,UFC 5 - The Return of the Beast,4/7/95,Guy Mezger,John Dowdy,win,loss,14,58,TKO,1,2:02
11,1,UFC 5 - The Return of the Beast,4/7/95,Dave Beneteau,Asbel Cancio,win,loss,56,57,TKO,1,0:21
12,10,UFC 6 - Clash of the Titans,7/14/95,Oleg Taktarov,David Abbott,win,loss,47,110,Submission,1,17:45
12,9,UFC 6 - Clash of the Titans,7/14/95,Ken Shamrock,Dan Severn,win,loss,4,52,Submission,1,2:14
12,8,UFC 6 - Clash of the Titans,7/14/95,Oleg Taktarov,Anthony Macias,win,loss,47,53,Submission,1,0:09
12,7,UFC 6 - Clash of the Titans,7/14/95,David Abbott,Paul Varelans,win,loss,110,112,TKO,1,1:53
12,6,UFC 6 - Clash of the Titans,7/14/95,Oleg Taktarov,Dave Beneteau,win,loss,47,56,Submission,1,0:57
12,5,UFC 6 - Clash of the Titans,7/14/95,Patrick Smith,Rudyard Moncayo,win,loss,21,114,Submission,1,1:08
12,4,UFC 6 - Clash of the Titans,7/14/95,Paul Varelans,Cal Worsham,win,loss,112,113,KO,1,1:02
12,3,UFC 6 - Clash of the Titans,7/14/95,David Abbott,John Matua,win,loss,110,111,KO,1,0:20
12,2,UFC 6 - Clash of the Titans,7/14/95,Anthony Macias,He-Man Ali Gipson,win,loss,53,109,Submission,1,3:06
12,1,UFC 6 - Clash of the Titans,7/14/95,Joel Sutton,Jack McLaughlin,win,loss,107,885,Submission,1,2:01
13,11,UFC 7 - The Brawl in Buffalo,9/8/95,Marco Ruas,Paul Varelans,win,loss,120,112,TKO,1,13:17
13,10,UFC 7 - The Brawl in Buffalo,9/8/95,Ken Shamrock,Oleg Taktarov,draw,draw,4,47,Draw,1,33:00:00
13,9,UFC 7 - The Brawl in Buffalo,9/8/95,Marco Ruas,Remco Pardoel,win,loss,120,33,Submission,1,12:27
13,8,UFC 7 - The Brawl in Buffalo,9/8/95,Paul Varelans,Mark Hall,win,loss,112,118,Submission,1,1:04
13,7,UFC 7 - The Brawl in Buffalo,9/8/95,Marco Ruas,Larry Cureton,win,loss,120,62,Submission,1,3:23
13,6,UFC 7 - The Brawl in Buffalo,9/8/95,Remco Pardoel,Ryan Parker,win,loss,33,119,Submission,1,3:05
13,5,UFC 7 - The Brawl in Buffalo,9/8/95,Mark Hall,Harold Howard,win,loss,118,41,Submission,1,1:41
13,4,UFC 7 - The Brawl in Buffalo,9/8/95,Paul Varelans,Gerry Harris,win,loss,112,83,Submission,1,1:07
13,3,UFC 7 - The Brawl in Buffalo,9/8/95,Scott Bessac,David Hood,win,loss,121,1720,Submission,1,0:31
13,2,UFC 7 - The Brawl in Buffalo,9/8/95,Onassis Parungao,Francesco Maturi,win,loss,116,117,Submission,1,5:26
13,1,UFC 7 - The Brawl in Buffalo,9/8/95,Joel Sutton,Geza Kalman,win,loss,107,115,TKO,1,0:48
15,9,UFC 8 - David vs. Goliath,2/16/96,Don Frye,Gary Goodridge,win,loss,124,129,Submission,1,2:14
15,8,UFC 8 - David vs. Goliath,2/16/96,Ken Shamrock,Kimo Leopoldo,win,loss,4,43,Submission,1,4:24
15,7,UFC 8 - David vs. Goliath,2/16/96,Gary Goodridge,Jerry Bohlander,win,loss,129,127,TKO,1,5:31
15,6,UFC 8 - David vs. Goliath,2/16/96,Don Frye,Sam Adkins,win,loss,124,122,TKO,1,0:48
15,5,UFC 8 - David vs. Goliath,2/16/96,Gary Goodridge,Paul Herrera,win,loss,129,130,KO,1,0:13
15,4,UFC 8 - David vs. Goliath,2/16/96,Jerry Bohlander,Scott Ferrozzo,win,loss,127,128,Submission,1,9:03
15,3,UFC 8 - David vs. Goliath,2/16/96,Paul Varelans,Joe Moreira,win,loss,112,126,Decision,1,10:00
15,2,UFC 8 - David vs. Goliath,2/16/96,Don Frye,Thomas Ramirez,win,loss,124,125,KO,1,0:08
15,1,UFC 8 - David vs. Goliath,2/16/96,Sam Adkins,Keith Mielke,win,loss,122,123,Submission,1,0:50
16,7,UFC 9 - Motor City Madness,5/17/96,Dan Severn,Ken Shamrock,win,loss,52,4,Decision,1,30:00:00
16,6,UFC 9 - Motor City Madness,5/17/96,Don Frye,Amaury Bitetti,win,loss,124,135,TKO,1,9:22
16,5,UFC 9 - Motor City Madness,5/17/96,Mark Hall,Koji Kitao,win,loss,118,134,TKO,1,0:40
16,4,UFC 9 - Motor City Madness,5/17/96,Mark Schultz,Gary Goodridge,win,loss,133,129,TKO,1,12:00
16,3,UFC 9 - Motor City Madness,5/17/96,Rafael Carino,Matt Andersen,win,loss,131,132,TKO,1,5:32
16,2,UFC 9 - Motor City Madness,5/17/96,Cal Worsham,Zane Frazier,win,loss,113,18,TKO,1,3:14
16,1,UFC 9 - Motor City Madness,5/17/96,Steve Nelmark,Tai Bowden,win,loss,147,6950,TKO,1,7:25
17,9,UFC 10 - The Tournament,7/12/96,Mark Coleman,Don Frye,win,loss,136,124,TKO,1,11:34
17,8,UFC 10 - The Tournament,7/12/96,Mark Coleman,Gary Goodridge,win,loss,136,129,Submission,1,7:00
17,7,UFC 10 - The Tournament,7/12/96,Don Frye,Brian Johnston,win,loss,124,137,Submission,1,4:37
17,6,UFC 10 - The Tournament,7/12/96,Gary Goodridge,John Campetella,win,loss,129,140,KO,1,1:28
17,5,UFC 10 - The Tournament,7/12/96,Mark Coleman,Moti Horenstein,win,loss,136,139,Submission,1,2:43
17,4,UFC 10 - The Tournament,7/12/96,Brian Johnston,Scott Fiedler,win,loss,137,138,Submission,1,2:25
17,3,UFC 10 - The Tournament,7/12/96,Don Frye,Mark Hall,win,loss,124,118,TKO,1,10:21
17,2,UFC 10 - The Tournament,7/12/96,Sam Adkins,Felix Mitchell,win,loss,122,45,Decision,1,10:00
17,1,UFC 10 - The Tournament,7/12/96,Geza Kalman,Dieuseul Berto,win,loss,115,2007,TKO,1,5:57
18,8,UFC 11 - The Proving Ground,9/20/96,Scott Ferrozzo,David Abbott,win,loss,128,110,Decision,1,15:00
18,7,UFC 11 - The Proving Ground,9/20/96,Mark Coleman,Brian Johnston,win,loss,136,137,Submission,1,2:20
18,6,UFC 11 - The Proving Ground,9/20/96,Jerry Bohlander,Fabio Gurgel,win,loss,127,146,Decision,1,15:00
18,5,UFC 11 - The Proving Ground,9/20/96,David Abbott,Sam Adkins,win,loss,110,122,Submission,1,2:06
18,4,UFC 11 - The Proving Ground,9/20/96,Brian Johnston,Reza Nasri,win,loss,137,145,TKO,1,0:28
18,3,UFC 11 - The Proving Ground,9/20/96,Mark Coleman,Julian Sanchez,win,loss,136,144,Submission,1,0:45
18,2,UFC 11 - The Proving Ground,9/20/96,Roberto Traven,Dave Berry,win,loss,142,143,Submission,1,1:23
18,1,UFC 11 - The Proving Ground,9/20/96,Scott Ferrozzo,Sam Fulton,win,loss,128,141,Submission,1,0:00
19,7,UFC - Ultimate Ultimate 1996,12/7/96,Ken Shamrock,Brian Johnston,win,loss,4,137,Submission,1,5:48
