eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age
7,8,11/12/93,Royce Gracie,Gerard Gordeau,win,loss,19,15,Submission,1,1:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,15,77,216,Netherlands,77,216,,Orthodox,0,0,0,0,0,0,0,0,0,26.91854894,38.62286105
7,8,11/12/93,Royce Gracie,Gerard Gordeau,win,loss,19,15,Submission,1,1:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,15,77,216,Netherlands,77,216,,Orthodox,0,0,0,0,0,0,0,0,0,26.91854894,38.62286105
7,7,11/12/93,Trent Jenkins,Jason DeLucia,loss,win,23,22,Submission,1,0:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,74,185,United States,74,185,,,0,0,0,0,0,0,0,0,0,22,71,190,United States,71,190,,Southpaw,0,0,0,0,0,0,0,0,0,,24.30390144
7,6,11/12/93,Royce Gracie,Ken Shamrock,win,loss,19,4,Submission,1,0:57,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,4,73,212,United States,73,205,72,Orthodox,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,11.1,26.91854894,29.7522245
7,6,11/12/93,Royce Gracie,Ken Shamrock,win,loss,19,4,Submission,1,0:57,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,4,73,212,United States,73,205,72,Orthodox,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,11.1,26.91854894,29.7522245
7,5,11/12/93,Kevin Rosier,Gerard Gordeau,loss,win,17,15,TKO,1,0:59,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17,76,265,United States,76,275,,Orthodox,0,0,0,0,0,0,0,0,0,15,77,216,Netherlands,77,216,,Orthodox,0,0,0,0,0,0,0,0,0,31.84941821,38.62286105
7,4,11/12/93,Ken Shamrock,Patrick Smith,win,loss,4,21,Submission,1,1:49,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,73,212,United States,73,205,72,Orthodox,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,11.1,21,74,225,United States,74,225,,Orthodox,0,0,0,0,0,0,0,0,0,29.7522245,30.32717317
7,3,11/12/93,Art Jimmerson,Royce Gracie,loss,win,20,19,Submission,1,2:18,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,20,73,196,United States,73,196,,Orthodox,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,30.275154,26.91854894
7,3,11/12/93,Art Jimmerson,Royce Gracie,loss,win,20,19,Submission,1,2:18,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,20,73,196,United States,73,196,,Orthodox,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,30.275154,26.91854894
7,2,11/12/93,Kevin Rosier,Zane Frazier,win,loss,17,18,TKO,1,4:20,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,76,265,United States,76,275,,Orthodox,0,0,0,0,0,0,0,0,0,18,78,230,United States,77,250,,Orthodox,0,0,0,0,0,0,0,0,0,31.84941821,27.32648871
