eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL
7,8,UFC 1 - The Beginning,11/12/93,Gerard Gordeau,Royce Gracie,loss,win,15,19,Submission,1,1:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,UFC 1 - The Beginning,11/12/93,Jason DeLucia,Trent Jenkins,win,loss,22,23,Submission,1,0:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,UFC 1 - The Beginning,11/12/93,Ken Shamrock,Royce Gracie,loss,win,4,19,Submission,1,0:57,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,5,UFC 1 - The Beginning,11/12/93,Kevin Rosier,Gerard Gordeau,loss,win,17,15,TKO,1,0:59,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,4,UFC 1 - The Beginning,11/12/93,Ken Shamrock,Patrick Smith,win,loss,4,21,Submission,1,1:49,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,3,UFC 1 - The Beginning,11/12/93,Art Jimmerson,Royce Gracie,loss,win,20,19,Submission,1,2:18,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
7,2,UFC 1 - The Beginning,11/12/93,Kevin Rosier,Zane Frazier,win,loss,17,18,TKO,1,4:20,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1,UFC 1 - The Beginning,11/12/93,Teila Tuli,Gerard Gordeau,loss,win,16,15,TKO,1,0:26,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,15,UFC 2 - No Way Out,3/11/94,Royce Gracie,Patrick Smith,win,loss,19,21,Submission,1,1:17,3,3,0,3,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0
8,14,UFC 2 - No Way Out,3/11/94,Remco Pardoel,Royce Gracie,loss,win,33,19,Submission,1,1:31,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0
8,13,UFC 2 - No Way Out,3/11/94,Johnny Rhodes,Patrick Smith,loss,win,27,21,Submission,1,1:07,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0
8,12,UFC 2 - No Way Out,3/11/94,Royce Gracie,Jason DeLucia,win,loss,19,22,Submission,1,1:07,5,5,0,5,0,1,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0
8,11,UFC 2 - No Way Out,3/11/94,Orlando Wiet,Remco Pardoel,loss,win,31,33,KO,1,1:29,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,10,UFC 2 - No Way Out,3/11/94,Johnny Rhodes,Fred Ettish,win,loss,27,36,Submission,1,3:07,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,9,UFC 2 - No Way Out,3/11/94,Scott Morris,Patrick Smith,loss,win,24,21,KO,1,0:30,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0
